=	v-w1f1	=-001
vojákovat	v-w12279_ZUf1_ZU	vojákovat-001
volat	v-w7683f1	volat-001
volat	v-w7683f2	volat-006
volat	v-w7683f3	volat-004
volat	v-w7683f4	volat-009
volat	v-w7683f7	volat-007
volat	v-w7683f8	volat-008
volat	v-w7683f9	volat-003
volat	v-w7683f10_ZU	volat-002
volat	v-w7683f6	volat-002	substituted with v-w7683f10_ZU
volat	v-w7683f11_ZU	volat-005
volat	v-w7683f5	volat-005	substituted with v-w7683f11_ZU
volat si	v-whsa_610hsa_611	volat si-001	obsolete
volit	v-w7686f1	volit-001
volit	v-w7686f2	volit-002
volávat	v-whsa_800f1_ZU	volávat-001
volávat	v-whsb_800hsa_801	volávat-001	substituted with v-whsa_800f1_ZU
vonět	v-w7687f1	vonět-001
vonět	v-w7687f2	vonět-002
voperovat	v-w7688f1	voperovat-001
vozit	v-w7689f2_ZU	vozit-002
vozit	v-w7689f3_MM	vozit-001
vozit	v-w7689f1	vozit-001	substituted with v-w7689f3_MM
vozit se	v-w7690f1	vozit se-001
vozit se	v-w7690f2_ZU	vozit se-002
vozit se	v-w7690hsa_17	vozit se-002	substituted with v-w7690f2_ZU
vozívat	v-whsa_472hsa_473	vozívat-001
vošukat	v-whsa_1859hsa_1860	vošukat-001
vpadnout	v-w10826f2	vpadnout-002
vpadnout	v-w10826f3	vpadnout-001
vpadávat	v-w11020f2	vpadávat-001
vpašovat	v-w7693f1	vpašovat-001
vpisovat	v-whsa_51f1_ZU	vpisovat-001
vpisovat	v-whsa_51hsa_52	vpisovat-001	substituted with v-whsa_51f1_ZU
vplout	v-w10155f2	vplout-001
vplouvat	v-w7697f1	vplouvat-001
vplouvat	v-w7697f2	vplouvat-002
vplynout	v-w12216_ZUf1_ZU	vplynout-001
vplést	v-w7695f1	vplést-001
vplétat	v-w7696f1	vplétat-001
vplížit se	v-w11287f1	vplížit se-001
vpouštět	v-w7698f1	vpouštět-001
vpravit	v-w10381f2	vpravit-001
vpravovat se	v-w7699f1	vpravovat se-001
vpustit	v-w7700f1	vpustit-001
vpíjet se	v-w7694f1	vpíjet se-001
vracet	v-w7702f1	vracet-001
vracet	v-w7702f2	vracet-003
vracet	v-w7702f3	vracet-002
vracet se	v-w7703f1	vracet se-003
vracet se	v-w7703f2	vracet se-001
vracet se	v-w7703f3	vracet se-004
vracet se	v-w7703f4	vracet se-005
vracet se	v-w7703f5	vracet se-002
vracívat se	v-w12209_ZUf1_ZU	vracívat se-001
vrazit	v-w10718f2	vrazit-001
vrazit	v-w10718f3	vrazit-002
vrazit	v-w10718f5	vrazit-003
vrazit	v-w10718f6_ZU	vrazit-004
vrazit	v-w10718f7_ZU	vrazit-005
vraštit	v-w10459f2	vraštit-001
vraždit	v-w7710f1	vraždit-001
vrcholit	v-w7719f1	vrcholit-001
vrhat	v-w7714f2	vrhat-002
vrhat	v-w7714f3	vrhat-003
vrhat	v-w7714f4	vrhat-004
vrhat	v-w7714f5_ZU	vrhat-001
vrhat	v-w7714f6_ZU	vrhat-006
vrhat	v-w7714hsa_139	vrhat-006	substituted with v-w7714f6_ZU
vrhat	v-w7714f7_ZU	vrhat-005
vrhat	v-w7714f1	vrhat-005	substituted with v-w7714f7_ZU
vrhat	v-w7714hsa_140	vrhat-005	substituted with v-w7714f7_ZU
vrhat se	v-w7715f2_ZU	vrhat se-003	obsolete
vrhat se	v-w7715f3_ZU	vrhat se-002
vrhat se	v-w7715f1	vrhat se-002	substituted with v-w7715f3_ZU
vrhat se	v-w7715f4_ZU	vrhat se-004	obsolete
vrhat se	v-w7715f5_ZU	vrhat se-001
vrhnout	v-w7716f1	vrhnout-001
vrhnout	v-w7716f2	vrhnout-002
vrhnout	v-w7716f3	vrhnout-003
vrhnout se	v-w7717f1	vrhnout se-002
vrhnout se	v-w7717f3_ZU	vrhnout se-001
vrhnout se	v-w7717f2_ZU	vrhnout se-001	substituted with v-w7717f3_ZU
vrhnout se	v-w7717f5_ZU	vrhnout se-003
vrhnout se	v-w7717f4_ZU	vrhnout se-003	substituted with v-w7717f5_ZU
vrnět	v-whsa_1073hsa_1074	vrnět-001
vrnět se	v-whsa_141hsa_142	vrnět se-001
vrtat	v-w7724f1	vrtat-002
vrtat	v-w7724f2	vrtat-001
vrtat	v-w7724f3_ZU	vrtat-003
vrtat	v-w7724hsa_502	vrtat-003	substituted with v-w7724f3_ZU
vrtat se	v-whsa_878f1_ZU	vrtat se-002
vrtat se	v-whsa_878hsa_879	vrtat se-001
vrtět	v-w11085f2	vrtět-001
vrtět se	v-w11458f1	vrtět se-001
vrzat	v-whsa_696hsa_697	vrzat-001
vrátit	v-w7705f2	vrátit-004
vrátit	v-w7705f4	vrátit-003
vrátit	v-w7705f5_ZU	vrátit-005
vrátit	v-w7705f6_ZU	vrátit-002
vrátit	v-w7705f3	vrátit-002	substituted with v-w7705f6_ZU
vrátit	v-w7705hsa_787	vrátit-002	substituted with v-w7705f6_ZU
vrátit	v-w7705f7_ZU	vrátit-001
vrátit	v-w7705f1	vrátit-001	substituted with v-w7705f7_ZU
vrátit	v-w7705hsa_786	vrátit-006
vrátit se	v-w7706f1	vrátit se-004
vrátit se	v-w7706f2	vrátit se-001
vrátit se	v-w7706f3	vrátit se-002
vrátit se	v-w7706f4	vrátit se-005
vrátit se	v-w7706f5	vrátit se-003
vrátit se	v-w7706f6_ZU	vrátit se-006
vrátit se	v-w7706hsa_251	vrátit se-006	substituted with v-w7706f6_ZU
vrávorat	v-w10297f2	vrávorat-001
vrážet	v-w7711f1	vrážet-001
vrýt se	v-w7725f1	vrýt se-001
vrčet	v-w7713f1	vrčet-001
vrčet	v-w7713f2	vrčet-003
vrčet	v-w7713f3	vrčet-002
vršit	v-w7722f1	vršit-001
vršit se	v-w11343f1	vršit se-001
vsadit	v-w7728f1	vsadit-002
vsadit	v-w7728f2	vsadit-001
vsadit	v-w7728hsa_528	vsadit-003
vsadit se	v-w7729f3_ZU	vsadit se-001
vsadit se	v-w7729f1	vsadit se-001	substituted with v-w7729f3_ZU
vsadit se	v-w7729f2_ZU	vsadit se-001	substituted with v-w7729f3_ZU
vstoupit	v-w7734f1	vstoupit-003
vstoupit	v-w7734f2	vstoupit-005
vstoupit	v-w7734f3	vstoupit-004
vstoupit	v-w7734f4	vstoupit-001
vstoupit	v-w7734f5	vstoupit-002
vstupovat	v-w7742f1	vstupovat-003
vstupovat	v-w7742f2	vstupovat-002
vstupovat	v-w7742f3	vstupovat-001
vstupovat	v-w7742f4	vstupovat-004
vstupovat	v-w7742f5	vstupovat-005
vstát	v-w7731f1	vstát-001
vstát	v-w7731f2_ZU	vstát-002
vstávat	v-w7733f1	vstávat-001
vstávat	v-w7733f2	vstávat-002
vstávat	v-w7733f4_ZU	vstávat-003
vstávat	v-w7733f3_ZU	vstávat-003	substituted with v-w7733f4_ZU
vstřebat	v-w7735f1	vstřebat-001
vstřebávat	v-w7737f1	vstřebávat-001
vstřelit	v-w7739f1	vstřelit-001
vstřikovat	v-whsa_404f1_ZU	vstřikovat-001
vstřikovat	v-whsa_404hsa_405	vstřikovat-001	substituted with v-whsa_404f1_ZU
vstříknout	v-w12206_ZUf1_ZU	vstříknout-001
vsunout	v-whsa_373f1_ZU	vsunout-001
vsunout	v-whsa_373hsa_374	vsunout-001	substituted with v-whsa_373f1_ZU
vsázet	v-w10071f2	vsázet-001
vsázet se	v-w11234f1	vsázet se-001
vsítit	v-w7730f1	vsítit-001
vtahovat	v-w7748f1	vtahovat-002
vtahovat	v-w7748f2	vtahovat-001
vtipkovat	v-w7755f1	vtipkovat-001
vtisknout	v-w7758f1	vtisknout-002
vtisknout	v-w7758f2	vtisknout-001
vtiskovat	v-w7759f1	vtiskovat-002
vtiskovat	v-w7759f2	vtiskovat-001
vtlačit	v-w7760f1	vtlačit-001
vtlačovat	v-w10883f2	vtlačovat-001
vtrhnout	v-w7761f1	vtrhnout-001
vtrhávat	v-w10469f2	vtrhávat-001
vtáhnout	v-w7747f1	vtáhnout-001
vtáhnout	v-w7747f2	vtáhnout-002
vtírat se	v-w7757f1	vtírat se-001
vtělit	v-w7752f1	vtělit-001
vtěsnat	v-w7753f1	vtěsnat-001
vtěsnat se	v-w12309_MMf1_MM	vtěsnat se-001
vybalancovat	v-w10464f2	vybalancovat-001
vybalit	v-w11893_ZUf1_ZU	vybalit-001
vybalovat	v-whsa_1093hsa_1094	vybalovat-001
vybalovat	v-whsa_1093hsa_1095	vybalovat-002
vybarvit	v-w7765f1	vybarvit-001
vybarvovat se	v-w11774_ZUf1_ZU	vybarvovat se-001
vybavit	v-w7768f1	vybavit-001
vybavit se	v-w7769f1	vybavit se-001
vybavit si	v-w7770f2_ZU	vybavit si-001
vybavit si	v-w7770f1	vybavit si-001	substituted with v-w7770f2_ZU
vybavovat	v-w7771f1	vybavovat-001
vybavovat se	v-w7772f1	vybavovat se-002
vybavovat se	v-w7772f2	vybavovat se-001
vybavovat si	v-w11617_ZUf1_ZU	vybavovat si-001
vybičovat	v-w10999f2	vybičovat-002	obsolete
vybičovat	v-w10999hsa_610	vybičovat-001
vyblednout	v-w7785f1	vyblednout-001
vybojovat	v-w7788f1	vybojovat-001
vybojovat	v-w7788hsa_834	vybojovat-002
vybombardovat	v-whsa_2054f1_ZU	vybombardovat-001
vybombardovat	v-whsa_2054hsa_2055	vybombardovat-001	substituted with v-whsa_2054f1_ZU
vybouchnout	v-w10323f2	vybouchnout-003	obsolete
vybouchnout	v-w10323f3	vybouchnout-001
vybouchnout	v-w10323hsa_1102	vybouchnout-002
vyboulit se	v-w11394f1	vyboulit se-001
vybourat	v-w7790f1	vybourat-001
vybourat	v-w7790f2	vybourat-002
vybourat se	v-w7791f1	vybourat se-001
vybourávat	v-whsa_581hsa_582	vybourávat-001
vybouřit se	v-w11773_ZUf1_ZU	vybouřit se-001
vyboxovat	v-w7792f1	vyboxovat-001
vybočit	v-w7786f1	vybočit-001
vybočovat	v-w7787f1	vybočovat-001
vybrakovat	v-w7793f1	vybrakovat-001
vybrat	v-w7796f2	vybrat-003
vybrat	v-w7796f3	vybrat-002
vybrat	v-w7796f4_ZU	vybrat-004
vybrat	v-w7796f5_ZU	vybrat-001
vybrat	v-w7796f1	vybrat-001	substituted with v-w7796f5_ZU
vybrat	v-w7796f6_ZU	vybrat-005
vybrousit	v-w7797f1	vybrousit-002
vybrousit	v-w7797f3_ZU	vybrousit-001
vybrousit	v-w7797f2_ZU	vybrousit-001	substituted with v-w7797f3_ZU
vybruslit	v-w7798f1	vybruslit-001
vybrušovat	v-whsa_759hsa_760	vybrušovat-001
vybuchnout	v-w7803f1	vybuchnout-001
vybuchnout	v-w7803f3_ZU	vybuchnout-003
vybuchnout	v-w7803f2_ZU	vybuchnout-003	substituted with v-w7803f3_ZU
vybuchnout	v-w7803hsa_654	vybuchnout-003	substituted with v-w7803f3_ZU
vybuchnout	v-w7803hsa_764	vybuchnout-002
vybuchovat	v-w10653f2	vybuchovat-001
vybudit	v-w10852f2	vybudit-001
vybudovat	v-w7801f1	vybudovat-002
vybudovat	v-w7801f2	vybudovat-001
vybujet	v-w7804f1	vybujet-001
vyburcovat	v-w7805hsa_840	vyburcovat-001
vyburcovat	v-w7805f1	vyburcovat-001	substituted with v-w7805hsa_840
vybídnout	v-w7778f1	vybídnout-001
vybíhat	v-w11062f2	vybíhat-002
vybíhat	v-w11062f3	vybíhat-001
vybíhat	v-w11062hsa_1150	vybíhat-003
vybíjet	v-w7780f1	vybíjet-001
vybíjet	v-w7780f2_ZU	vybíjet-002
vybílit	v-w10314f2	vybílit-001
vybírat	v-w7782f2	vybírat-002
vybírat	v-w7782f3	vybírat-003
vybírat	v-w7782f4_ZU	vybírat-001
vybírat	v-w7782f1	vybírat-001	substituted with v-w7782f4_ZU
vybít	v-w11050f2	vybít-001
vybít	v-w11050f3_ZU	vybít-002
vybízet	v-w7783f1	vybízet-001
vybýt	v-w7806f1	vybýt-001
vyběhat	v-w7773f2_ZU	vyběhat-001
vyběhat	v-w7773f1	vyběhat-001	substituted with v-w7773f2_ZU
vyběhat	v-w7773hsa_1627	vyběhat-002
vyběhnout	v-w7774f1	vyběhnout-001
vyběhnout	v-w7774hsa_252	vyběhnout-003
vyběhnout	v-w7774hsa_334	vyběhnout-002
vycachtat se	v-whsa_1004hsa_1005	vycachtat se-001
vycementovat	v-w7807f1	vycementovat-001
vycestovat	v-w7808f1	vycestovat-001
vychladit	v-whsa_474hsa_475	vychladit-001
vychladnout	v-w7952f1	vychladnout-001
vychladnout	v-w7952f2_ZU	vychladnout-002
vychloubat se	v-w11337hsa_26	vychloubat se-001
vychloubat se	v-w11337f1	vychloubat se-001	substituted with v-w11337hsa_26
vychodit	v-w7954f1	vychodit-001
vychovat	v-w7956f1	vychovat-002
vychovat	v-w7956f2	vychovat-001
vychovávat	v-w7958f1	vychovávat-002
vychovávat	v-w7958f2	vychovávat-001
vychrlit	v-w7959f1	vychrlit-001
vychrlit	v-w7959f2_ZU	vychrlit-002
vychutnat	v-w7960f1	vychutnat-001
vychutnat si	v-w7961f1	vychutnat si-001
vychutnávat si	v-w11310f1	vychutnávat si-001
vychutnávat si	v-w11310hsa_1233	vychutnávat si-002
vychvalovat	v-w7963f1	vychvalovat-001
vychylovat se	v-whsa_691f1_ZU	vychylovat se-001
vychylovat se	v-whsa_691hsa_692	vychylovat se-001	substituted with v-whsa_691f1_ZU
vychytat	v-w7965f1	vychytat-001
vychytat	v-w7965f2	vychytat-002
vycházet	v-w7951f1	vycházet-007
vycházet	v-w7951f2	vycházet-014
vycházet	v-w7951f3	vycházet-015
vycházet	v-w7951f4	vycházet-006
vycházet	v-w7951f5	vycházet-013
vycházet	v-w7951f6	vycházet-010
vycházet	v-w7951f7	vycházet-017
vycházet	v-w7951f8	vycházet-005
vycházet	v-w7951f10	vycházet-016
vycházet	v-w7951f11	vycházet-008
vycházet	v-w7951f12	vycházet-001
vycházet	v-w7951f13	vycházet-004
vycházet	v-w7951f14	vycházet-002
vycházet	v-w7951f15	vycházet-011
vycházet	v-w7951f16	vycházet-009
vycházet	v-w7951f17	vycházet-003
vycházet	v-w7951f18_ZU	vycházet-018
vycházet	v-w7951f19_ZU	vycházet-019
vycházet	v-w7951f20_MM	vycházet-020
vycházet	v-w7951hsa_391	vycházet-012
vycházet	v-w7951f9	vycházet-012	substituted with v-w7951hsa_391
vychýlit	v-w7964f1	vychýlit-001
vychýlit se	v-w11276f1	vychýlit se-001
vycouvat	v-w7810f1	vycouvat-001
vycouvat	v-w7810f2	vycouvat-002
vycucat	v-w7811f1	vycucat-001
vycucat	v-w7811hsa_1463	vycucat-002
vycucat si	v-w7812f1	vycucat si-001
vycucávat	v-w11976_ZUf1_ZU	vycucávat-001
vycvičit	v-w11126f2	vycvičit-001
vycítit	v-w7809f1	vycítit-001
vycítit	v-w7809f2	vycítit-002
vydat	v-w7842f1	vydat-006
vydat	v-w7842f2	vydat-001
vydat	v-w7842f3	vydat-004
vydat	v-w7842f5	vydat-010
vydat	v-w7842f6	vydat-005
vydat	v-w7842f7	vydat-012
vydat	v-w7842f8	vydat-008
vydat	v-w7842f9	vydat-013
vydat	v-w7842f11	vydat-009
vydat	v-w7842f12	vydat-003
vydat	v-w7842f13	vydat-007
vydat	v-w7842f17_ZU	vydat-014	obsolete
vydat	v-w7842f21_ZU	vydat-015
vydat	v-w7842hsa_136	vydat-011
vydat	v-w7842f4	vydat-011	substituted with v-w7842hsa_136
vydat	v-w7842f14_ZU	vydat-011	substituted with v-w7842hsa_136
vydat	v-w7842f15_ZU	vydat-011	substituted with v-w7842hsa_136
vydat	v-w7842f16_ZU	vydat-011	substituted with v-w7842hsa_136
vydat	v-w7842f18_ZU	vydat-011	substituted with v-w7842hsa_136
vydat	v-w7842f19_ZU	vydat-011	substituted with v-w7842hsa_136
vydat	v-w7842f20_ZU	vydat-011	substituted with v-w7842hsa_136
vydat	v-w7842hsa_169	vydat-002
vydat	v-w7842f10	vydat-002	substituted with v-w7842hsa_169
vydat	v-w7842hsa_170	vydat-016
vydat se	v-w7843f1	vydat se-002
vydat se	v-w7843f2	vydat se-001
vydat se	v-w7843f3	vydat se-003
vydařit se	v-w7841f1	vydařit se-001
vydechnout si	v-w7851f1	vydechnout si-001
vydedukovat	v-w7850f1	vydedukovat-001
vydezinfikovat	v-w11670_ZUf1_ZU	vydezinfikovat-001
vydlabat	v-w7861f1	vydlabat-001
vydlužit si	v-w7862f1	vydlužit si-001
vydláždit	v-w10344f2	vydláždit-001
vydláždit	v-w10344hsa_285	vydláždit-002
vydobýt	v-w7863f1	vydobýt-001
vydojit	v-whsa_246f1_ZU	vydojit-001
vydojit	v-whsa_246hsa_247	vydojit-001	substituted with v-whsa_246f1_ZU
vydolovat	v-w7864f1	vydolovat-002
vydolovat	v-w7864f2	vydolovat-001
vydovádět se	v-w7865f1	vydovádět se-001
vydražit	v-w7866f1	vydražit-001
vydrbat	v-whsa_1939f1_ZU	vydrbat-001
vydrbat	v-whsa_1939hsa_1940	vydrbat-001	substituted with v-whsa_1939f1_ZU
vydrápat se	v-w11619_ZUf1_ZU	vydrápat se-001
vydržet	v-w7867f1	vydržet-002
vydržet	v-w7867f3_ZU	vydržet-001
vydržet	v-w7867f2	vydržet-001	substituted with v-w7867f3_ZU
vydržet	v-w7867hsa_371	vydržet-001	substituted with v-w7867f3_ZU
vydržovat	v-w7868f1	vydržovat-001
vydyndat	v-w12229_ZUf1_ZU	vydyndat-001
vydávat	v-w7846f1	vydávat-006
vydávat	v-w7846f3	vydávat-003
vydávat	v-w7846f4	vydávat-004
vydávat	v-w7846f5	vydávat-007
vydávat	v-w7846f7	vydávat-002
vydávat	v-w7846f8	vydávat-005
vydávat	v-w7846f9_ZU	vydávat-001
vydávat	v-w7846f2	vydávat-001	substituted with v-w7846f9_ZU
vydávat	v-w7846f10_ZU	vydávat-008
vydávat	v-w7846f6	vydávat-008	substituted with v-w7846f10_ZU
vydávat se	v-w7848f1	vydávat se-003
vydávat se	v-w7848f2	vydávat se-002
vydávat se	v-w7848f3	vydávat se-001
vydírat	v-w7860f1	vydírat-001
vydýchat se	v-w7869f1	vydýchat se-001
vydědit	v-w7849f1	vydědit-001
vydělat	v-w7853f3_ZU	vydělat-001
vydělat	v-w7853f1	vydělat-001	substituted with v-w7853f3_ZU
vydělat	v-w7853f2_ZU	vydělat-001	substituted with v-w7853f3_ZU
vydělat	v-w7853hsa_301	vydělat-001	substituted with v-w7853f3_ZU
vydělat	v-w7853hsa_239	vydělat-002
vydělit	v-w7856f1	vydělit-001
vydělit	v-w7856f2_ZU	vydělit-002
vydělit	v-w7856hsa_685	vydělit-002	substituted with v-w7856f2_ZU
vydělit se	v-w7857f1	vydělit se-001
vydělovat se	v-w7858f1	vydělovat se-001
vydělávat	v-w7854f1	vydělávat-001
vyděsit	v-w10454f2	vyděsit-001
vyděsit se	v-w11319f1	vyděsit se-001
vydřít	v-w10916f2	vydřít-001
vyexpedovat	v-w11620_ZUf1_ZU	vyexpedovat-001
vyfasovat	v-w7870f1	vyfasovat-001
vyfasovat	v-w7870f2_ZU	vyfasovat-002
vyfotit	v-w10901f2	vyfotit-001
vyfotit	v-w10901f3_ZU	vyfotit-002
vyfotit se	v-w11900_ZUf3_ZU	vyfotit se-001
vyfotit se	v-w11900_ZUf1_ZU	vyfotit se-001	substituted with v-w11900_ZUf3_ZU
vyfotit se	v-w11900_ZUf2_ZU	vyfotit se-001	substituted with v-w11900_ZUf3_ZU
vyfotografovat	v-w7871f1	vyfotografovat-001
vyfotografovat se	v-w11362f1	vyfotografovat se-001
vyfouknout	v-w7872f1	vyfouknout-001
vyfouknout	v-w7872hsa_1098	vyfouknout-002
vygenerovat	v-w11188f2	vygenerovat-001
vygradovat	v-w7873f1	vygradovat-001
vygumovat	v-w7874f1	vygumovat-001
vyhasnout	v-w7878f1	vyhasnout-001
vyhasnout	v-w7878f2	vyhasnout-002
vyhasínat	v-w7877f1	vyhasínat-001
vyhazovat	v-w7881f1	vyhazovat-001
vyhazovat	v-w7881f3_ZU	vyhazovat-002
vyhazovat	v-w7881f2_ZU	vyhazovat-002	substituted with v-w7881f3_ZU
vyhazovat	v-w7881hsa_105	vyhazovat-005
vyhazovat	v-w7881hsa_144	vyhazovat-003
vyhazovat	v-w7881hsa_145	vyhazovat-004
vyhazovat	v-w7881hsa_146	vyhazovat-006	obsolete
vyhecovat	v-w12057_ZUf1_ZU	vyhecovat-001
vyhladit	v-w7883f1	vyhladit-001
vyhladit	v-w7883f2	vyhladit-002
vyhladovět	v-w10639f2	vyhladovět-002
vyhladovět	v-w10639f3	vyhladovět-001
vyhlazovat	v-w7891f1	vyhlazovat-001
vyhlašovat	v-w7889f1	vyhlašovat-001
vyhlašovat	v-w7889f2	vyhlašovat-002
vyhledat	v-w7893f1	vyhledat-001
vyhledávat	v-w7895f1	vyhledávat-001
vyhledávat	v-w7895hsa_803	vyhledávat-002
vyhloubit	v-w7899f1	vyhloubit-001
vyhlásit	v-w7884f1	vyhlásit-002
vyhlásit	v-w7884f2	vyhlásit-001
vyhlásit	v-w7884f4_ZU	vyhlásit-003
vyhlásit	v-w7884f3	vyhlásit-003	substituted with v-w7884f4_ZU
vyhlásit	v-w7884hsa_693	vyhlásit-003	substituted with v-w7884f4_ZU
vyhláskovat	v-w11725_ZUf1_ZU	vyhláskovat-001
vyhlédnout	v-w7896f1	vyhlédnout-001
vyhlídnout	v-w12319_MMf1_MM	vyhlídnout-001
vyhlížet	v-w7898f1	vyhlížet-001
vyhlížet	v-w7898f2_MM	vyhlížet-003
vyhlížet	v-w7898hsa_416	vyhlížet-002
vyhmátnout	v-w7900f1	vyhmátnout-001
vyhnat	v-w7902f1	vyhnat-003
vyhnat	v-w7902f2	vyhnat-002
vyhnat	v-w7902f3	vyhnat-004
vyhnat	v-w7902f9_ZU	vyhnat-005	obsolete
vyhnat	v-w7902f7_ZU	vyhnat-005	substituted with v-w7902f9_ZU
vyhnat	v-w7902f8_ZU	vyhnat-005	substituted with v-w7902f9_ZU
vyhnat	v-w7902f10_ZU	vyhnat-001
vyhnat	v-w7902f4_ZU	vyhnat-001	substituted with v-w7902f10_ZU
vyhnat	v-w7902f5_ZU	vyhnat-001	substituted with v-w7902f10_ZU
vyhnat	v-w7902f6_ZU	vyhnat-001	substituted with v-w7902f10_ZU
vyhnat	v-w7902f11_ZU	vyhnat-006
vyhnout se	v-w7903f1	vyhnout se-001
vyhnout se	v-w7903f2_ZU	vyhnout se-002
vyhnout se	v-w7903hsa_1246	vyhnout se-002	substituted with v-w7903f2_ZU
vyhoblovat	v-w12239_ZUf1_ZU	vyhoblovat-001
vyhodit	v-w7906f2	vyhodit-002
vyhodit	v-w7906f3_ZU	vyhodit-001
vyhodit	v-w7906f1	vyhodit-001	substituted with v-w7906f3_ZU
vyhodit	v-w7906hsa_61	vyhodit-003
vyhodit	v-w7906hsa_1169	vyhodit-004
vyhodit	v-w7906hsa_1170	vyhodit-005
vyhodit si	v-w7907f1	vyhodit si-002
vyhodit si	v-w7907f2	vyhodit si-001
vyhodnocovat	v-w7910f1	vyhodnocovat-001
vyhodnotit	v-w7911f1	vyhodnotit-001
vyhostit	v-w7914f1	vyhostit-001
vyhotovit	v-w7917f1	vyhotovit-001
vyhotovit	v-w7917f2_ZU	vyhotovit-002
vyhoupnout se	v-w7918f1	vyhoupnout se-001
vyhoupnout se	v-w7918f2	vyhoupnout se-002
vyhovovat	v-w7921f1	vyhovovat-001
vyhovovat	v-w7921f2	vyhovovat-002
vyhovět	v-w7920f1	vyhovět-001
vyhořet	v-w7913f1	vyhořet-001
vyhošťovat	v-w7915f1	vyhošťovat-001
vyhrabat	v-w12275_ZUf1_ZU	vyhrabat-001
vyhrabat se	v-w11405f1	vyhrabat se-001
vyhrabávat se	v-w11418f1	vyhrabávat se-001
vyhradit	v-w7924f2_ZU	vyhradit-001
vyhradit	v-w7924f1	vyhradit-001	substituted with v-w7924f2_ZU
vyhradit	v-w7924hsa_1362	vyhradit-002
vyhradit si	v-w7925f1	vyhradit si-001
vyhranit	v-w7926f1	vyhranit-001
vyhranit se	v-w7927f1	vyhranit se-001
vyhrazovat si	v-whsa_288hsa_289	vyhrazovat si-001
vyhraňovat se	v-w7928f1	vyhraňovat se-001
vyhrknout	v-w7934f1	vyhrknout-001
vyhrknout	v-w7934f2	vyhrknout-002
vyhrnout se	v-w7935f1	vyhrnout se-001
vyhrocovat se	v-w7938f1	vyhrocovat se-001
vyhrotit	v-w7939f1	vyhrotit-001
vyhrotit se	v-w7940f1	vyhrotit se-001
vyhrožovat	v-w7942f1	vyhrožovat-001
vyhrožovat	v-w7942f2	vyhrožovat-002
vyhrát	v-w7929f2	vyhrát-002
vyhrát	v-w7929f3_ZU	vyhrát-001
vyhrát	v-w7929f1	vyhrát-001	substituted with v-w7929f3_ZU
vyhrát se	v-w7930f1	vyhrát se-001
vyhrát si	v-w7931f1	vyhrát si-001
vyhrávat	v-w7933f1	vyhrávat-001
vyhrávat	v-w7933f2_ZU	vyhrávat-002
vyhrávat	v-w7933hsa_1259	vyhrávat-003
vyhubit	v-w7945f1	vyhubit-001
vyhubovat	v-w10511f2	vyhubovat-001
vyhynout	v-w7948f1	vyhynout-001
vyhánět	v-w7876f1	vyhánět-001
vyhánět	v-w7876f2_ZU	vyhánět-002
vyházet	v-w7879f1	vyházet-003
vyházet	v-w7879f2	vyházet-001
vyházet	v-w7879f3	vyházet-002
vyházet	v-w7879hsa_1844	vyházet-004
vyháčkovat	v-w7875f1	vyháčkovat-001
vyhýbat se	v-w7947f1	vyhýbat se-001
vyhřeznout	v-w10276f2	vyhřeznout-001
vyhřezávat	v-whsa_16hsa_17	vyhřezávat-001
vyhřát se	v-whsb_1265hsa_1266	vyhřát se-001
vyhřívat se	v-w7944f1	vyhřívat se-001
vyinkasovat	v-w7967f1	vyinkasovat-001
vyjadřovat	v-w7974f1	vyjadřovat-001
vyjadřovat	v-w7974f3	vyjadřovat-002
vyjadřovat	v-w7974f6_ZU	vyjadřovat-003
vyjadřovat	v-w7974f2	vyjadřovat-003	substituted with v-w7974f6_ZU
vyjadřovat	v-w7974f4_ZU	vyjadřovat-003	substituted with v-w7974f6_ZU
vyjadřovat	v-w7974f5_ZU	vyjadřovat-003	substituted with v-w7974f6_ZU
vyjadřovat se	v-w7975f1	vyjadřovat se-001
vyjadřovat se	v-w7975f2	vyjadřovat se-003
vyjadřovat se	v-w7975f3	vyjadřovat se-002
vyjasnit	v-w7978f1	vyjasnit-001
vyjasňovat	v-w11351f1	vyjasňovat-001
vyjasňovat se	v-w7980f1	vyjasňovat se-001
vyjasňovat se	v-w7980f3	vyjasňovat se-002
vyjednat	v-w7981f1	vyjednat-001
vyjednávat	v-w7983f1	vyjednávat-002
vyjednávat	v-w7983f2	vyjednávat-001
vyjet	v-w7984f1	vyjet-001
vyjet	v-w7984f2	vyjet-002
vyjet	v-w7984f3_ZU	vyjet-003
vyjet	v-w7984hsa_237	vyjet-004
vyjet	v-w7984hsa_238	vyjet-005
vyjet si	v-w7985f1	vyjet si-001
vyjevit	v-w7986f1	vyjevit-001
vyjevit se	v-w11284f1	vyjevit se-001
vyjevit se	v-w11284f2_ZU	vyjevit se-002
vyjezdit se	v-whsa_2009hsa_2010	vyjezdit se-001
vyjmenovat	v-w7997f1	vyjmenovat-001
vyjmenovávat	v-w10897f2	vyjmenovávat-001
vyjmout	v-w7998f1	vyjmout-001
vyjmout	v-w7998f2	vyjmout-002
vyjádřit	v-w7970f2	vyjádřit-001
vyjádřit	v-w7970f9_ZU	vyjádřit-003
vyjádřit	v-w7970f1	vyjádřit-003	substituted with v-w7970f9_ZU
